Type,Library,Test,Result
2. Parse Double,ArduinoJson (C++),double44,true
2. Parse Double,ArduinoJson (C++),double45,true
2. Parse Double,ArduinoJson (C++),double46,true
2. Parse Double,ArduinoJson (C++),double47,true
2. Parse Double,ArduinoJson (C++),double48,true
2. Parse Double,ArduinoJson (C++),double49,true
2. Parse Double,ArduinoJson (C++),double50,true
2. Parse Double,ArduinoJson (C++),double51,true
2. Parse Double,ArduinoJson (C++),double52,true
2. Parse Double,ArduinoJson (C++),double53,true
2. Parse Double,ArduinoJson (C++),double54,true
2. Parse Double,ArduinoJson (C++),double55,true
2. Parse Double,ArduinoJson (C++),double56,true
2. Parse Double,ArduinoJson (C++),double57,true
2. Parse Double,ArduinoJson (C++),double58,true
2. Parse Double,ArduinoJson (C++),double59,true
2. Parse Double,ArduinoJson (C++),double60,true
2. Parse Double,ArduinoJson (C++),double61,true
2. Parse Double,ArduinoJson (C++),double62,true
2. Parse Double,ArduinoJson (C++),double63,true
2. Parse Double,ArduinoJson (C++),double64,true
2. Parse Double,ArduinoJson (C++),double65,true
2. Parse Double,ArduinoJson (C++),double66,true
3. Parse String,ArduinoJson (C++),string01,true
3. Parse String,ArduinoJson (C++),string02,true
3. Parse String,ArduinoJson (C++),string03,true
3. Parse String,ArduinoJson (C++),string04,false
3. Parse String,ArduinoJson (C++),string05,true
3. Parse String,ArduinoJson (C++),string06,false
3. Parse String,ArduinoJson (C++),string07,false
3. Parse String,ArduinoJson (C++),string08,false
3. Parse String,ArduinoJson (C++),string09,false
4. Roundtrip,ArduinoJson (C++),roundtrip01,true
4. Roundtrip,ArduinoJson (C++),roundtrip02,true
4. Roundtrip,ArduinoJson (C++),roundtrip03,true
4. Roundtrip,ArduinoJson (C++),roundtrip04,true
4. Roundtrip,ArduinoJson (C++),roundtrip05,true
4. Roundtrip,ArduinoJson (C++),roundtrip06,true
4. Roundtrip,ArduinoJson (C++),roundtrip07,true
4. Roundtrip,ArduinoJson (C++),roundtrip08,true
4. Roundtrip,ArduinoJson (C++),roundtrip09,true
4. Roundtrip,ArduinoJson (C++),roundtrip10,true
4. Roundtrip,ArduinoJson (C++),roundtrip11,true
4. Roundtrip,ArduinoJson (C++),roundtrip12,true
4. Roundtrip,ArduinoJson (C++),roundtrip13,true
4. Roundtrip,ArduinoJson (C++),roundtrip14,true
4. Roundtrip,ArduinoJson (C++),roundtrip15,true
4. Roundtrip,ArduinoJson (C++),roundtrip16,true
4. Roundtrip,ArduinoJson (C++),roundtrip17,true
4. Roundtrip,ArduinoJson (C++),roundtrip18,true
4. Roundtrip,ArduinoJson (C++),roundtrip19,true
4. Roundtrip,ArduinoJson (C++),roundtrip20,true
4. Roundtrip,ArduinoJson (C++),roundtrip21,true
4. Roundtrip,ArduinoJson (C++),roundtrip22,true
4. Roundtrip,ArduinoJson (C++),roundtrip23,true
4. Roundtrip,ArduinoJson (C++),roundtrip24,true
4. Roundtrip,ArduinoJson (C++),roundtrip25,true
4. Roundtrip,ArduinoJson (C++),roundtrip26,true
4. Roundtrip,ArduinoJson (C++),roundtrip27,true
1. Parse Validation,CAJUN (C++),pass01,true
1. Parse Validation,CAJUN (C++),pass02,true
1. Parse Validation,CAJUN (C++),pass03,true
1. Parse Validation,CAJUN (C++),fail02,true
1. Parse Validation,CAJUN (C++),fail03,true
1. Parse Validation,CAJUN (C++),fail04,true
1. Parse Validation,CAJUN (C++),fail05,true
1. Parse Validation,CAJUN (C++),fail06,true
1. Parse Validation,CAJUN (C++),fail07,true
1. Parse Validation,CAJUN (C++),fail08,true
1. Parse Validation,CAJUN (C++),fail09,true
1. Parse Validation,CAJUN (C++),fail10,true
1. Parse Validation,CAJUN (C++),fail11,true
1. Parse Validation,CAJUN (C++),fail12,true
1. Parse Validation,CAJUN (C++),fail13,false
1. Parse Validation,CAJUN (C++),fail14,true
1. Parse Validation,CAJUN (C++),fail15,true
1. Parse Validation,CAJUN (C++),fail16,true
1. Parse Validation,CAJUN (C++),fail17,true
1. Parse Validation,CAJUN (C++),fail19,true
1. Parse Validation,CAJUN (C++),fail20,true
1. Parse Validation,CAJUN (C++),fail21,true
1. Parse Validation,CAJUN (C++),fail22,true
1. Parse Validation,CAJUN (C++),fail23,true
1. Parse Validation,CAJUN (C++),fail24,true
1. Parse Validation,CAJUN (C++),fail25,false
1. Parse Validation,CAJUN (C++),fail26,true
1. Parse Validation,CAJUN (C++),fail27,false
1. Parse Validation,CAJUN (C++),fail28,true
1. Parse Validation,CAJUN (C++),fail29,false
1. Parse Validation,CAJUN (C++),fail30,false
1. Parse Validation,CAJUN (C++),fail31,true
1. Parse Validation,CAJUN (C++),fail32,true
1. Parse Validation,CAJUN (C++),fail33,true
2. Parse Double,CAJUN (C++),double01,true
2. Parse Double,CAJUN (C++),double02,true
2. Parse Double,CAJUN (C++),double03,true
2. Parse Double,CAJUN (C++),double04,true
2. Parse Double,CAJUN (C++),double05,true
2. Parse Double,CAJUN (C++),double06,true
2. Parse Double,CAJUN (C++),double07,true
2. Parse Double,CAJUN (C++),double08,true
2. Parse Double,CAJUN (C++),double09,true
2. Parse Double,CAJUN (C++),double10,true
2. Parse Double,CAJUN (C++),double11,true
2. Parse Double,CAJUN (C++),double12,true
2. Parse Double,CAJUN (C++),double13,true
2. Parse Double,CAJUN (C++),double14,true
2. Parse Double,CAJUN (C++),double15,true
2. Parse Double,CAJUN (C++),double16,true
2. Parse Double,CAJUN (C++),double17,true
2. Parse Double,CAJUN (C++),double18,true
2. Parse Double,CAJUN (C++),double19,true
2. Parse Double,CAJUN (C++),double20,true
2. Parse Double,CAJUN (C++),double21,true
2. Parse Double,CAJUN (C++),double22,true
2. Parse Double,CAJUN (C++),double23,true
2. Parse Double,CAJUN (C++),double24,true
2. Parse Double,CAJUN (C++),double25,true
2. Parse Double,CAJUN (C++),double26,true
2. Parse Double,CAJUN (C++),double27,true
2. Parse Double,CAJUN (C++),double28,true
2. Parse Double,CAJUN (C++),double29,true
2. Parse Double,CAJUN (C++),double30,true
2. Parse Double,CAJUN (C++),double31,true
2. Parse Double,CAJUN (C++),double32,true
2. Parse Double,CAJUN (C++),double33,true
2. Parse Double,CAJUN (C++),double34,true
2. Parse Double,CAJUN (C++),double35,true
2. Parse Double,CAJUN (C++),double36,true
2. Parse Double,CAJUN (C++),double37,false
2. Parse Double,CAJUN (C++),double38,true
2. Parse Double,CAJUN (C++),double39,true
2. Parse Double,CAJUN (C++),double40,false
2. Parse Double,CAJUN (C++),double41,true
2. Parse Double,CAJUN (C++),double42,true
2. Parse Double,CAJUN (C++),double43,true
2. Parse Double,CAJUN (C++),double44,false
2. Parse Double,CAJUN (C++),double45,true
2. Parse Double,CAJUN (C++),double46,true
2. Parse Double,CAJUN (C++),double47,true
2. Parse Double,CAJUN (C++),double48,false
2. Parse Double,CAJUN (C++),double49,true
2. Parse Double,CAJUN (C++),double50,true
2. Parse Double,CAJUN (C++),double51,true
2. Parse Double,CAJUN (C++),double52,true
2. Parse Double,CAJUN (C++),double53,false
2. Parse Double,CAJUN (C++),double54,true
2. Parse Double,CAJUN (C++),double55,true
2. Parse Double,CAJUN (C++),double56,true
2. Parse Double,CAJUN (C++),double57,true
2. Parse Double,CAJUN (C++),double58,false
2. Parse Double,CAJUN (C++),double59,true
2. Parse Double,CAJUN (C++),double60,true
2. Parse Double,CAJUN (C++),double61,true
2. Parse Double,CAJUN (C++),double62,true
2. Parse Double,CAJUN (C++),double63,false
2. Parse Double,CAJUN (C++),double64,true
2. Parse Double,CAJUN (C++),double65,true
2. Parse Double,CAJUN (C++),double66,true
3. Parse String,CAJUN (C++),string01,true
3. Parse String,CAJUN (C++),string02,true
3. Parse String,CAJUN (C++),string03,true
3. Parse String,CAJUN (C++),string04,true
3. Parse String,CAJUN (C++),string05,true
3. Parse String,CAJUN (C++),string06,true
3. Parse String,CAJUN (C++),string07,true
3. Parse String,CAJUN (C++),string08,true
3. Parse String,CAJUN (C++),string09,false
4. Roundtrip,CAJUN (C++),roundtrip01,true
4. Roundtrip,CAJUN (C++),roundtrip02,true
4. Roundtrip,CAJUN (C++),roundtrip03,true
4. Roundtrip,CAJUN (C++),roundtrip04,true
4. Roundtrip,CAJUN (C++),roundtrip05,true
4. Roundtrip,CAJUN (C++),roundtrip06,true
4. Roundtrip,CAJUN (C++),roundtrip07,true
4. Roundtrip,CAJUN (C++),roundtrip08,true
4. Roundtrip,CAJUN (C++),roundtrip09,false
4. Roundtrip,CAJUN (C++),roundtrip10,false
4. Roundtrip,CAJUN (C++),roundtrip11,true
4. Roundtrip,CAJUN (C++),roundtrip12,true
4. Roundtrip,CAJUN (C++),roundtrip13,false
4. Roundtrip,CAJUN (C++),roundtrip14,true
4. Roundtrip,CAJUN (C++),roundtrip15,true
4. Roundtrip,CAJUN (C++),roundtrip16,true
4. Roundtrip,CAJUN (C++),roundtrip17,true
4. Roundtrip,CAJUN (C++),roundtrip18,false
4. Roundtrip,CAJUN (C++),roundtrip19,false
4. Roundtrip,CAJUN (C++),roundtrip20,false
4. Roundtrip,CAJUN (C++),roundtrip21,false
4. Roundtrip,CAJUN (C++),roundtrip22,false
4. Roundtrip,CAJUN (C++),roundtrip23,false
4. Roundtrip,CAJUN (C++),roundtrip24,false
4. Roundtrip,CAJUN (C++),roundtrip25,false
4. Roundtrip,CAJUN (C++),roundtrip26,false
4. Roundtrip,CAJUN (C++),roundtrip27,false
1. Parse Validation,ccan/json (C),pass01,true
1. Parse Validation,ccan/json (C),pass02,true
1. Parse Validation,ccan/json (C),pass03,true
1. Parse Validation,ccan/json (C),fail02,true
1. Parse Validation,ccan/json (C),fail03,true
1. Parse Validation,ccan/json (C),fail04,true
1. Parse Validation,ccan/json (C),fail05,true
1. Parse Validation,ccan/json (C),fail06,true
1. Parse Validation,ccan/json (C),fail07,true
1. Parse Validation,ccan/json (C),fail08,true
1. Parse Validation,ccan/json (C),fail09,true
1. Parse Validation,ccan/json (C),fail10,true
1. Parse Validation,ccan/json (C),fail11,true
1. Parse Validation,ccan/json (C),fail12,true
1. Parse Validation,ccan/json (C),fail13,true
1. Parse Validation,ccan/json (C),fail14,true
1. Parse Validation,ccan/json (C),fail15,true
1. Parse Validation,ccan/json (C),fail16,true
1. Parse Validation,ccan/json (C),fail17,true
1. Parse Validation,ccan/json (C),fail19,true
1. Parse Validation,ccan/json (C),fail20,true
1. Parse Validation,ccan/json (C),fail21,true
1. Parse Validation,ccan/json (C),fail22,true
1. Parse Validation,ccan/json (C),fail23,true
1. Parse Validation,ccan/json (C),fail24,true
1. Parse Validation,ccan/json (C),fail25,true
1. Parse Validation,ccan/json (C),fail26,true
1. Parse Validation,ccan/json (C),fail27,true
1. Parse Validation,ccan/json (C),fail28,true
1. Parse Validation,ccan/json (C),fail29,true
1. Parse Validation,ccan/json (C),fail30,true
1. Parse Validation,ccan/json (C),fail31,true
1. Parse Validation,ccan/json (C),fail32,true
1. Parse Validation,ccan/json (C),fail33,true
2. Parse Double,ccan/json (C),double01,true
2. Parse Double,ccan/json (C),double02,true
2. Parse Double,ccan/json (C),double03,true
2. Parse Double,ccan/json (C),double04,true
2. Parse Double,ccan/json (C),double05,true
2. Parse Double,ccan/json (C),double06,true
2. Parse Double,ccan/json (C),double07,true
2. Parse Double,ccan/json (C),double08,true
2. Parse Double,ccan/json (C),double09,true
2. Parse Double,ccan/json (C),double10,true
2. Parse Double,ccan/json (C),double11,true
2. Parse Double,ccan/json (C),double12,true
2. Parse Double,ccan/json (C),double13,true
2. Parse Double,ccan/json (C),double14,true
2. Parse Double,ccan/json (C),double15,true
2. Parse Double,ccan/json (C),double16,true
2. Parse Double,ccan/json (C),double17,true
2. Parse Double,ccan/json (C),double18,true
2. Parse Double,ccan/json (C),double19,true
2. Parse Double,ccan/json (C),double20,true
2. Parse Double,ccan/json (C),double21,true
2. Parse Double,ccan/json (C),double22,true
2. Parse Double,ccan/json (C),double23,true
2. Parse Double,ccan/json (C),double24,true
2. Parse Double,ccan/json (C),double25,true
2. Parse Double,ccan/json (C),double26,true
2. Parse Double,ccan/json (C),double27,true
2. Parse Double,ccan/json (C),double28,true
2. Parse Double,ccan/json (C),double29,true
2. Parse Double,ccan/json (C),double30,true
2. Parse Double,ccan/json (C),double31,true
2. Parse Double,ccan/json (C),double32,true
2. Parse Double,ccan/json (C),double33,true
2. Parse Double,ccan/json (C),double34,true
2. Parse Double,ccan/json (C),double35,true
2. Parse Double,ccan/json (C),double36,true
2. Parse Double,ccan/json (C),double37,true
2. Parse Double,ccan/json (C),double38,true
2. Parse Double,ccan/json (C),double39,true
2. Parse Double,ccan/json (C),double40,true
2. Parse Double,ccan/json (C),double41,true
2. Parse Double,ccan/json (C),double42,true
2. Parse Double,ccan/json (C),double43,true
2. Parse Double,ccan/json (C),double44,true
2. Parse Double,ccan/json (C),double45,true
2. Parse Double,ccan/json (C),double46,true
2. Parse Double,ccan/json (C),double47,true
2. Parse Double,ccan/json (C),double48,true
2. Parse Double,ccan/json (C),double49,true
2. Parse Double,ccan/json (C),double50,true
2. Parse Double,ccan/json (C),double51,true
2. Parse Double,ccan/json (C),double52,true
2. Parse Double,ccan/json (C),double53,true
2. Parse Double,ccan/json (C),double54,true
2. Parse Double,ccan/json (C),double55,true
2. Parse Double,ccan/json (C),double56,true
2. Parse Double,ccan/json (C),double57,true
2. Parse Double,ccan/json (C),double58,true
2. Parse Double,ccan/json (C),double59,true
2. Parse Double,ccan/json (C),double60,true
2. Parse Double,ccan/json (C),double61,true
2. Parse Double,ccan/json (C),double62,true
2. Parse Double,ccan/json (C),double63,true
2. Parse Double,ccan/json (C),double64,true
2. Parse Double,ccan/json (C),double65,true
2. Parse Double,ccan/json (C),double66,true
3. Parse String,ccan/json (C),string01,true
3. Parse String,ccan/json (C),string02,true
3. Parse String,ccan/json (C),string03,true
3. Parse String,ccan/json (C),string04,false
3. Parse String,ccan/json (C),string05,true
3. Parse String,ccan/json (C),string06,true
3. Parse String,ccan/json (C),string07,true
3. Parse String,ccan/json (C),string08,true
3. Parse String,ccan/json (C),string09,true
4. Roundtrip,ccan/json (C),roundtrip01,true
4. Roundtrip,ccan/json (C),roundtrip02,true
4. Roundtrip,ccan/json (C),roundtrip03,true
4. Roundtrip,ccan/json (C),roundtrip04,true
4. Roundtrip,ccan/json (C),roundtrip05,true
4. Roundtrip,ccan/json (C),roundtrip06,true
4. Roundtrip,ccan/json (C),roundtrip07,true
4. Roundtrip,ccan/json (C),roundtrip08,true
4. Roundtrip,ccan/json (C),roundtrip09,true
4. Roundtrip,ccan/json (C),roundtrip10,true
4. Roundtrip,ccan/json (C),roundtrip11,true
4. Roundtrip,ccan/json (C),roundtrip12,true
4. Roundtrip,ccan/json (C),roundtrip13,false
4. Roundtrip,ccan/json (C),roundtrip14,false
4. Roundtrip,ccan/json (C),roundtrip15,true
4. Roundtrip,ccan/json (C),roundtrip16,true
4. Roundtrip,ccan/json (C),roundtrip17,true
4. Roundtrip,ccan/json (C),roundtrip18,false
4. Roundtrip,ccan/json (C),roundtrip19,false
4. Roundtrip,ccan/json (C),roundtrip20,false
4. Roundtrip,ccan/json (C),roundtrip21,false
4. Roundtrip,ccan/json (C),roundtrip22,true
4. Roundtrip,ccan/json (C),roundtrip23,true
4. Roundtrip,ccan/json (C),roundtrip24,false
4. Roundtrip,ccan/json (C),roundtrip25,true
4. Roundtrip,ccan/json (C),roundtrip26,false
4. Roundtrip,ccan/json (C),roundtrip27,false
1. Parse Validation,cJSON (C),pass01,true
1. Parse Validation,cJSON (C),pass02,true
1. Parse Validation,cJSON (C),pass03,true
1. Parse Validation,cJSON (C),fail02,true
1. Parse Validation,cJSON (C),fail03,true
1. Parse Validation,cJSON (C),fail04,true
1. Parse Validation,cJSON (C),fail05,true
1. Parse Validation,cJSON (C),fail06,true
1. Parse Validation,cJSON (C),fail07,false
1. Parse Validation,cJSON (C),fail08,false
1. Parse Validation,cJSON (C),fail09,true
1. Parse Validation,cJSON (C),fail10,false
1. Parse Validation,cJSON (C),fail11,true
1. Parse Validation,cJSON (C),fail12,true
1. Parse Validation,cJSON (C),fail13,false
1. Parse Validation,cJSON (C),fail14,true
1. Parse Validation,cJSON (C),fail15,false
1. Parse Validation,cJSON (C),fail16,true
1. Parse Validation,cJSON (C),fail17,false
1. Parse Validation,cJSON (C),fail19,true
1. Parse Validation,cJSON (C),fail20,true
1. Parse Validation,cJSON (C),fail21,true
1. Parse Validation,cJSON (C),fail22,true
1. Parse Validation,cJSON (C),fail23,true
1. Parse Validation,cJSON (C),fail24,true
1. Parse Validation,cJSON (C),fail25,false
1. Parse Validation,cJSON (C),fail26,false
1. Parse Validation,cJSON (C),fail27,false
1. Parse Validation,cJSON (C),fail28,false
1. Parse Validation,cJSON (C),fail29,false
1. Parse Validation,cJSON (C),fail30,false
1. Parse Validation,cJSON (C),fail31,true
1. Parse Validation,cJSON (C),fail32,true
1. Parse Validation,cJSON (C),fail33,true
2. Parse Double,cJSON (C),double01,true
2. Parse Double,cJSON (C),double02,true
2. Parse Double,cJSON (C),double03,true
2. Parse Double,cJSON (C),double04,true
2. Parse Double,cJSON (C),double05,true
2. Parse Double,cJSON (C),double06,true
2. Parse Double,cJSON (C),double07,true
2. Parse Double,cJSON (C),double08,true
2. Parse Double,cJSON (C),double09,true
2. Parse Double,cJSON (C),double10,true
2. Parse Double,cJSON (C),double11,true
2. Parse Double,cJSON (C),double12,true
2. Parse Double,cJSON (C),double13,true
2. Parse Double,cJSON (C),double14,true
2. Parse Double,cJSON (C),double15,true
2. Parse Double,cJSON (C),double16,true
2. Parse Double,cJSON (C),double17,true
2. Parse Double,cJSON (C),double18,true
2. Parse Double,cJSON (C),double19,false
2. Parse Double,cJSON (C),double20,true
2. Parse Double,cJSON (C),double21,false
2. Parse Double,cJSON (C),double22,false
2. Parse Double,cJSON (C),double23,false
2. Parse Double,cJSON (C),double24,false
2. Parse Double,cJSON (C),double25,true
2. Parse Double,cJSON (C),double26,true
2. Parse Double,cJSON (C),double27,true
2. Parse Double,cJSON (C),double28,false
2. Parse Double,cJSON (C),double29,false
2. Parse Double,cJSON (C),double30,true
2. Parse Double,cJSON (C),double31,true
2. Parse Double,cJSON (C),double32,false
2. Parse Double,cJSON (C),double33,true
2. Parse Double,cJSON (C),double34,true
2. Parse Double,cJSON (C),double35,true
2. Parse Double,cJSON (C),double36,false
2. Parse Double,cJSON (C),double37,false
2. Parse Double,cJSON (C),double38,false
2. Parse Double,cJSON (C),double39,true
2. Parse Double,cJSON (C),double40,false
2. Parse Double,cJSON (C),double41,true
2. Parse Double,cJSON (C),double42,true
2. Parse Double,cJSON (C),double43,true
2. Parse Double,cJSON (C),double44,false
2. Parse Double,cJSON (C),double45,true
2. Parse Double,cJSON (C),double46,true
2. Parse Double,cJSON (C),double47,false
2. Parse Double,cJSON (C),double48,true
2. Parse Double,cJSON (C),double49,false
2. Parse Double,cJSON (C),double50,true
2. Parse Double,cJSON (C),double51,false
2. Parse Double,cJSON (C),double52,true
2. Parse Double,cJSON (C),double53,false
2. Parse Double,cJSON (C),double54,true
2. Parse Double,cJSON (C),double55,false
2. Parse Double,cJSON (C),double56,false
2. Parse Double,cJSON (C),double57,false
2. Parse Double,cJSON (C),double58,true
2. Parse Double,cJSON (C),double59,false
2. Parse Double,cJSON (C),double60,false
2. Parse Double,cJSON (C),double61,false
2. Parse Double,cJSON (C),double62,false
2. Parse Double,cJSON (C),double63,false
2. Parse Double,cJSON (C),double64,false
2. Parse Double,cJSON (C),double65,false
2. Parse Double,cJSON (C),double66,false
3. Parse String,cJSON (C),string01,true
3. Parse String,cJSON (C),string02,true
3. Parse String,cJSON (C),string03,true
3. Parse String,cJSON (C),string04,false
3. Parse String,cJSON (C),string05,true
3. Parse String,cJSON (C),string06,true
3. Parse String,cJSON (C),string07,true
3. Parse String,cJSON (C),string08,true
3. Parse String,cJSON (C),string09,true
4. Roundtrip,cJSON (C),roundtrip01,true
4. Roundtrip,cJSON (C),roundtrip02,true
4. Roundtrip,cJSON (C),roundtrip03,true
4. Roundtrip,cJSON (C),roundtrip04,true
4. Roundtrip,cJSON (C),roundtrip05,true
4. Roundtrip,cJSON (C),roundtrip06,true
4. Roundtrip,cJSON (C),roundtrip07,true
4. Roundtrip,cJSON (C),roundtrip08,true
4. Roundtrip,cJSON (C),roundtrip09,true
4. Roundtrip,cJSON (C),roundtrip10,true
4. Roundtrip,cJSON (C),roundtrip11,true
4. Roundtrip,cJSON (C),roundtrip12,true
4. Roundtrip,cJSON (C),roundtrip13,false
4. Roundtrip,cJSON (C),roundtrip14,false
4. Roundtrip,cJSON (C),roundtrip15,true
4. Roundtrip,cJSON (C),roundtrip16,true
4. Roundtrip,cJSON (C),roundtrip17,true
4. Roundtrip,cJSON (C),roundtrip18,false
4. Roundtrip,cJSON (C),roundtrip19,false
4. Roundtrip,cJSON (C),roundtrip20,false
4. Roundtrip,cJSON (C),roundtrip21,false
4. Roundtrip,cJSON (C),roundtrip22,false
4. Roundtrip,cJSON (C),roundtrip23,false
4. Roundtrip,cJSON (C),roundtrip24,false
4. Roundtrip,cJSON (C),roundtrip25,false
4. Roundtrip,cJSON (C),roundtrip26,false
4. Roundtrip,cJSON (C),roundtrip27,false
1. Parse Validation,Configuru (C++11),pass01,true
1. Parse Validation,Configuru (C++11),pass02,true
1. Parse Validation,Configuru (C++11),pass03,true
1. Parse Validation,Configuru (C++11),fail02,true
1. Parse Validation,Configuru (C++11),fail03,true
1. Parse Validation,Configuru (C++11),fail04,true
1. Parse Validation,Configuru (C++11),fail05,true
1. Parse Validation,Configuru (C++11),fail06,true
1. Parse Validation,Configuru (C++11),fail07,true
1. Parse Validation,Configuru (C++11),fail08,true
1. Parse Validation,Configuru (C++11),fail09,true
1. Parse Validation,Configuru (C++11),fail10,true
1. Parse Validation,Configuru (C++11),fail11,true
1. Parse Validation,Configuru (C++11),fail12,true
1. Parse Validation,Configuru (C++11),fail13,true
1. Parse Validation,Configuru (C++11),fail14,true
1. Parse Validation,Configuru (C++11),fail15,true
1. Parse Validation,Configuru (C++11),fail16,true
1. Parse Validation,Configuru (C++11),fail17,true
1. Parse Validation,Configuru (C++11),fail19,true
1. Parse Validation,Configuru (C++11),fail20,true
1. Parse Validation,Configuru (C++11),fail21,true
1. Parse Validation,Configuru (C++11),fail22,true
1. Parse Validation,Configuru (C++11),fail23,true
1. Parse Validation,Configuru (C++11),fail24,true
1. Parse Validation,Configuru (C++11),fail25,true
1. Parse Validation,Configuru (C++11),fail26,true
1. Parse Validation,Configuru (C++11),fail27,true
1. Parse Validation,Configuru (C++11),fail28,true
1. Parse Validation,Configuru (C++11),fail29,true
1. Parse Validation,Configuru (C++11),fail30,true
1. Parse Validation,Configuru (C++11),fail31,true
1. Parse Validation,Configuru (C++11),fail32,true
1. Parse Validation,Configuru (C++11),fail33,true
2. Parse Double,Configuru (C++11),double01,true
2. Parse Double,Configuru (C++11),double02,true
2. Parse Double,Configuru (C++11),double03,true
2. Parse Double,Configuru (C++11),double04,true
2. Parse Double,Configuru (C++11),double05,true
2. Parse Double,Configuru (C++11),double06,true
2. Parse Double,Configuru (C++11),double07,true
2. Parse Double,Configuru (C++11),double08,true
2. Parse Double,Configuru (C++11),double09,true
2. Parse Double,Configuru (C++11),double10,true
2. Parse Double,Configuru (C++11),double11,true
2. Parse Double,Configuru (C++11),double12,true
2. Parse Double,Configuru (C++11),double13,true
2. Parse Double,Configuru (C++11),double14,true
2. Parse Double,Configuru (C++11),double15,true
2. Parse Double,Configuru (C++11),double16,true
2. Parse Double,Configuru (C++11),double17,true
2. Parse Double,Configuru (C++11),double18,true
2. Parse Double,Configuru (C++11),double19,true
2. Parse Double,Configuru (C++11),double20,true
2. Parse Double,Configuru (C++11),double21,true
2. Parse Double,Configuru (C++11),double22,true
2. Parse Double,Configuru (C++11),double23,true
2. Parse Double,Configuru (C++11),double24,true
2. Parse Double,Configuru (C++11),double25,true
